UserId,UserType,AttractionId,Attraction,AttractionTypeName,avg_rating,total_visits,score,Reason,is_cold_start
26271,warm (has history),913,Goa Cina Beach,Beaches,4.096153846153846,52,0.37347102993417786,"Matches your past interest in Beaches (38% of your rating history), and is well regarded overall (avg 4.1/5).",False
26271,warm (has history),877,Balekambang Beach,Beaches,4.027777777777778,36,0.35122412376844653,"Matches your past interest in Beaches (38% of your rating history), and is well regarded overall (avg 4.0/5).",False
26271,warm (has history),888,Bromo Tengger Semeru National Park,National Parks,4.611548556430447,381,0.297761798183376,Highly rated (avg 4.6/5) and popular (381 visits) — a well-reviewed pick to broaden your experience.,False
26271,warm (has history),947,Mount Semeru Volcano,Volcanos,4.698795180722891,83,0.2766690873067225,Highly rated (avg 4.7/5) and popular (83 visits) — a well-reviewed pick to broaden your experience.,False
26271,warm (has history),975,Sempu Island,Nature & Wildlife Areas,4.2075471698113205,53,0.24550152600172012,Highly rated (avg 4.2/5) and popular (53 visits) — a well-reviewed pick to broaden your experience.,False
88191,cold-start (no history),841,Waterbom Bali,Water Parks,4.644781445138269,5605,0.9191186566726284,Popular pick among travelers overall — average rating 4.6/5 from 5605 visits (not enough personal history yet to personalize further).,True
88191,cold-start (no history),640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4.266649255680334,11487,0.8327039741253828,Popular pick among travelers overall — average rating 4.3/5 from 11487 visits (not enough personal history yet to personalize further).,True
88191,cold-start (no history),748,Tegalalang Rice Terrace,Points of Interest & Landmarks,4.157710064635272,5415,0.7276773320115828,Popular pick among travelers overall — average rating 4.2/5 from 5415 visits (not enough personal history yet to personalize further).,True
88191,cold-start (no history),824,Uluwatu Temple,Religious Sites,4.215519949732957,3183,0.7056539491385112,Popular pick among travelers overall — average rating 4.2/5 from 3183 visits (not enough personal history yet to personalize further).,True
88191,cold-start (no history),737,Tanah Lot Temple,Religious Sites,4.198035487959443,3156,0.6981733795624583,Popular pick among travelers overall — average rating 4.2/5 from 3156 visits (not enough personal history yet to personalize further).,True
