attraction_type,attraction,total_visits
Nature & Wildlife Areas,Sacred Monkey Forest Sanctuary,12369
Water Parks,Waterbom Bali,6079
Points of Interest & Landmarks,Tegalalang Rice Terrace,5585
Religious Sites,Uluwatu Temple,3216
Beaches,Sanur Beach,2930
Waterfalls,Tegenungan Waterfall,2184
Volcanos,Merapi Volcano,1576
Flea & Street Markets,Malioboro Road,946
History Museums,Ullen Sentalu Museum,770
Historic Sites,Yogyakarta Palace,673
National Parks,Bromo Tengger Semeru National Park,381
Ballets,Ramayana Ballet at Prambanan,328
Ancient Ruins,Sewu Temple,280
Caverns & Caves,Jomblang Cave,129
Neighborhoods,Jodipan Colorful Village,43
Speciality Museums,Museum Malang Tempo Doeloe,31
Spas,Khayangan Reflexology & Massage,28
