Attraction,visits
Sacred Monkey Forest Sanctuary,12369
Waterbom Bali,6079
Tegalalang Rice Terrace,5585
Uluwatu Temple,3216
Tanah Lot Temple,3198
Sanur Beach,2930
Seminyak Beach,2832
Kuta Beach - Bali,2641
Tegenungan Waterfall,2184
Nusa Dua Beach,2016
Merapi Volcano,1576
Malioboro Road,946
Ullen Sentalu Museum,770
Yogyakarta Palace,673
Bromo Tengger Semeru National Park,381
Ramayana Ballet at Prambanan,328
Water Castle (Tamansari),324
Sewu Temple,280
Ratu Boko Temple,190
Jomblang Cave,129
Kalibiru National Park,115
Mount Semeru Volcano,83
Malang City Square,64
Coban Rondo Waterfall,55
Goa Cina Beach,53
Sempu Island,53
Jodipan Colorful Village,43
Balekambang Beach,36
Museum Malang Tempo Doeloe,31
Khayangan Reflexology & Massage,28
