attraction,attraction_type,city,total_visits
Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Bali,12369
Waterbom Bali,Water Parks,Bali,6079
Tegalalang Rice Terrace,Points of Interest & Landmarks,Bali,5585
Uluwatu Temple,Religious Sites,Bali,3216
Tanah Lot Temple,Religious Sites,Bali,3198
Sanur Beach,Beaches,Bali,2930
Seminyak Beach,Beaches,Bali,2832
Kuta Beach - Bali,Beaches,Bali,2641
Tegenungan Waterfall,Waterfalls,Bali,2184
Nusa Dua Beach,Beaches,Bali,2016
Merapi Volcano,Volcanos,Yogyakarta,1576
Malioboro Road,Flea & Street Markets,Yogyakarta,946
Ullen Sentalu Museum,History Museums,Yogyakarta,770
Yogyakarta Palace,Historic Sites,Yogyakarta,673
Bromo Tengger Semeru National Park,National Parks,Malang,381
Ramayana Ballet at Prambanan,Ballets,Yogyakarta,328
Water Castle (Tamansari),Points of Interest & Landmarks,Yogyakarta,324
Sewu Temple,Ancient Ruins,Yogyakarta,280
Ratu Boko Temple,Ancient Ruins,Yogyakarta,190
Jomblang Cave,Caverns & Caves,Yogyakarta,129
Kalibiru National Park,National Parks,Yogyakarta,115
Mount Semeru Volcano,Volcanos,Malang,83
Malang City Square,Points of Interest & Landmarks,Malang,64
Coban Rondo Waterfall,Waterfalls,Malang,55
Goa Cina Beach,Beaches,Malang,53
Sempu Island,Nature & Wildlife Areas,Malang,53
Jodipan Colorful Village,Neighborhoods,Malang,43
Balekambang Beach,Beaches,Malang,36
Museum Malang Tempo Doeloe,Speciality Museums,Malang,31
Khayangan Reflexology & Massage,Spas,Malang,28
